AF-A0A087WUV0-F1-model_v4,AF-A0A087WUV0-F1-model_v4,A,1,1,1,216-507:1_1
AF-A0A087WVF3-F1-model_v4,AF-A0A087WVF3-F1-model_v4,A,1,1,1,2-27_44-219_277-310_335-353:1_1
AF-A0A087WXS9-F1-model_v4,AF-A0A087WXS9-F1-model_v4,A,1,1,1,2-30_43-219_277-310_335-353:1_1
AF-A0A087X1G2-F1-model_v4,AF-A0A087X1G2-F1-model_v4,A,1,1,1,2-26_44-219_277-311_335-354:1_1
AF-A0A0B4J2E5-F1-model_v4,AF-A0A0B4J2E5-F1-model_v4,A,1,1,1,2-229_255-674_684-881:1_1
AF-A0A0G2JKD1-F1-model_v4,AF-A0A0G2JKD1-F1-model_v4,A,1,1,1,35-474:1_1
AF-A0A0G2JMS6-F1-model_v4,AF-A0A0G2JMS6-F1-model_v4,A,1,1,1,10-123_139-252_262-480_499-673_722-871_882-947_958-1068_1081-1166_1182-1224_1248-1433:1_1
AF-A0A0G2JNQ3-F1-model_v4,AF-A0A0G2JNQ3-F1-model_v4,A,1,1,1,1-90_175-211:1_1
AF-A0A0J9YWL9-F1-model_v4,AF-A0A0J9YWL9-F1-model_v4,A,1,1,1,1-153:1_1
AF-A0A0J9YX94-F1-model_v4,AF-A0A0J9YX94-F1-model_v4,A,1,1,1,1-90_268-434:1_1
AF-A0A0J9YXQ4-F1-model_v4,AF-A0A0J9YXQ4-F1-model_v4,A,1,1,1,1-95_337-493:1_1
AF-A0A0U1RQI7-F1-model_v4,AF-A0A0U1RQI7-F1-model_v4,A,1,1,1,261-864_960-1045:1_1
AF-A0A140T8X8-F1-model_v4,AF-A0A140T8X8-F1-model_v4,A,1,1,1,34-506:1_1
AF-A0A140TA62-F1-model_v4,AF-A0A140TA62-F1-model_v4,A,1,1,1,99-248_261-407:1_1
AF-A0A1B0GTU1-F1-model_v4,AF-A0A1B0GTU1-F1-model_v4,A,1,1,1,4-99_417-427:1_1
AF-A0A1B0GTW7-F1-model_v4,AF-A0A1B0GTW7-F1-model_v4,A,1,1,1,20-37_61-70_86-199_261-529_548-600_622-717:1_1
AF-A0A1B0GUU1-F1-model_v4,AF-A0A1B0GUU1-F1-model_v4,A,1,1,1,21-93_124-166_175-624_636-664:1_1
AF-A0A1B0GVH7-F1-model_v4,AF-A0A1B0GVH7-F1-model_v4,A,1,1,1,286-501:1_1
AF-A0A1W2PN81-F1-model_v4,AF-A0A1W2PN81-F1-model_v4,A,1,1,1,20-347_442-502:1_1
AF-A0A1W2PQL4-F1-model_v4,AF-A0A1W2PQL4-F1-model_v4,A,1,1,1,17-72_199-384:1_1
AF-A0A1W2PR19-F1-model_v4,AF-A0A1W2PR19-F1-model_v4,A,1,1,1,1-32_55-106_137-216:1_1
AF-A0A1W2PRG0-F1-model_v4,AF-A0A1W2PRG0-F1-model_v4,A,1,1,1,1-32_55-106_137-215:1_1
AF-A0A2R8Y4L2-F1-model_v4,AF-A0A2R8Y4L2-F1-model_v4,A,1,1,1,1-145:1_1
AF-A0A2R8YE69-F1-model_v4,AF-A0A2R8YE69-F1-model_v4,A,1,1,1,42-278_310-502:1_1
AF-A0A2R8YFR7-F1-model_v4,AF-A0A2R8YFR7-F1-model_v4,A,1,1,1,1086-1116_1151-1402_1410-1487:1_1
AF-A0A494C071-F1-model_v4,AF-A0A494C071-F1-model_v4,A,1,1,1,3-21_35-68_84-98_328-336_346-555_1753-1883_1908-1952_1962-2049:1_1
AF-A0AV96-F1-model_v4,AF-A0AV96-F1-model_v4,A,1,1,1,21-322:1_1
AF-A0AVI2-F1-model_v4,AF-A0AVI2-F1-model_v4,A,1,1,1,1-125_165-293_324-442_462-839_847-953_977-1022_1062-1089_1097-1211_1224-1346_1384-1396_1405-1798_1808-1858_1870-1935:1_1
AF-A0AVI4-F1-model_v4,AF-A0AVI4-F1-model_v4,A,1,1,1,1-188_213-225_265-362:1_1
AF-A0FGR8-F1-model_v4,AF-A0FGR8-F1-model_v4,A,1,1,1,191-371_380-401_409-660_763-776_785-921:1_1
AF-A0FGR9-F1-model_v4,AF-A0FGR9-F1-model_v4,A,1,1,1,115-431_439-459_483-586_754-846_854-886:1_1
AF-A0JNW5-F1-model_v4,AF-A0JNW5-F1-model_v4,A,1,1,1,1-103_113-195_205-275_302-335_344-412_451-557_567-739_801-877_1187-1238_1251-1328_1337-1361:1_1
AF-A0MZ66-F1-model_v4,AF-A0MZ66-F1-model_v4,A,1,1,1,2-110_136-348:1_1
AF-A0PJY2-F1-model_v4,AF-A0PJY2-F1-model_v4,A,1,1,1,258-426:1_1
AF-A1A4S6-F1-model_v4,AF-A1A4S6-F1-model_v4,A,1,1,1,1-369_388-580_731-786:1_1
AF-A1A5C7-F1-model_v4,AF-A1A5C7-F1-model_v4,A,1,1,1,74-130_196-454_464-519_529-639:1_1
